month_year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Other territories,total,year,month
Mar-2024,194119.8483077504,158320.0483986603,124440.60408870588,23621.935134083433,78437.93926876085,5628.359296653719,4363.73487771072,9804.742408595106,109.28853003211105,598830.887663805,2024,Mar
Apr-2024,246351.95933952575,207265.6972058986,146110.95832935875,30967.685616956038,98312.83908745761,6846.145774154385,4816.501644986609,11881.224479205215,218.5770600642221,752771.5885376072,2024,Apr
May-2024,216008.7796084675,163167.7753379418,120474.99171325499,31037.94252911954,77165.50852624413,6768.082538417163,4629.149879217275,11389.426094060716,62.450588589777745,630688.4941681655,2024,May
Jun-2024,211278.14752279184,185907.59590819463,134588.82473454476,31990.31400511365,86962.44461126551,6650.98768481133,4238.833700531164,12685.275807298605,117.09485360583326,674427.325151731,2024,Jun
Jul-2024,289552.1539965045,253728.93511669326,158663.52663590407,41272.03273426936,120326.67156535426,9063.141669091496,4847.726939281498,17291.006715794712,117.09485360583326,894870.0965500728,2024,Jul
Aug-2024,229474.6877731383,202667.77262097623,128101.7698447816,34995.748580996704,93285.56670598051,8243.477693850662,4558.8929670537755,14262.153169190493,156.12647147444437,715754.0021510165,2024,Aug
Sep-2024,238865.69503232616,223846.3284764846,165603.34829294315,36432.11211856159,105143.37221446456,7611.165484379163,4746.244732823108,14644.663024302881,101.48220645838883,796994.4115827436,2024,Sep
Oct-2024,315313.02178978786,260598.4998615688,151255.3255644417,40460.175082602254,122207.99554662133,10850.789767473883,5542.489737342775,18516.5995168691,210.7707364904999,924971.2802503456,2024,Oct
Nov-2024,237437.13781833497,202051.07305865217,137055.622983841,32864.62224537054,93191.89082309583,7322.331512151441,5401.9759130157745,12201.283745727827,15.612647147444436,727541.550747337,2024,Nov
Dec-2024,208506.90265412044,167484.6722742102,134502.95517523383,28820.94663418243,80725.19207586146,5464.426501605552,4074.900905482998,12763.339043035827,124.90117717955549,642460.4301173385,2024,Dec
Jan-2025,404281.69155949994,326335.5506758836,227788.5218812143,46736.45923587492,160615.10752933464,8391.797841751384,8282.509311719274,23465.808662608986,85.8695593109444,1205991.1225807718,2025,Jan
Feb-2025,238850.0823851787,192449.29506297383,130615.40603552015,29086.361635688983,104690.60544718866,7049.110187071163,5019.466057903386,12911.659190936549,117.09485360583326,720804.6935032147,2025,Feb
Mar-2025,201832.49599858795,176579.03923759656,132559.18060537698,28945.847811361986,93012.34538090022,5878.161651012831,4808.695321412886,12076.382568548272,101.48220645838883,655793.6307812561,2025,Mar
