country,season,num_tourists_k
Canada,Autumn,879.6243466105933
Canada,Spring,1146.2024903296333
Canada,Summer,1016.4301672400751
Canada,Winter,1064.7591164849894
China,Autumn,554.7173531487008
China,Spring,604.5060849019012
China,Summer,638.8148770084102
China,Winter,490.9709148456852
Fiji,Autumn,387.46687058170227
Fiji,Spring,471.52536282354316
Fiji,Summer,418.10669060856196
Fiji,Winter,512.4929489384373
France,Autumn,95.11224642223151
France,Spring,204.29929424788415
France,Summer,130.8027578012895
France,Winter,260.5516619201265
Germany,Autumn,74.72993557124279
Germany,Spring,144.18279640664937
Germany,Summer,109.39001223856944
Germany,Winter,163.9406013717403
India,Autumn,55.70592502208175
India,Spring,55.260964578379586
India,Summer,58.65671533294875
India,Winter,25.01926705377971
Italy,Autumn,155.9625386793962
Italy,Spring,438.5124204302719
Italy,Summer,139.35848843808904
Italy,Winter,518.5506560316458
Japan,Autumn,707.4558801921498
Japan,Spring,568.5267395506154
Japan,Summer,884.5579431091857
Japan,Winter,422.1503662197501
Korea,Autumn,113.83181035201738
Korea,Spring,125.19781747535693
Korea,Summer,123.56629584844899
Korea,Winter,97.02479569779345
Malaysia,Autumn,256.28940924887416
Malaysia,Spring,281.6599608634713
Malaysia,Summer,381.6199342249844
Malaysia,Winter,294.1734975521481
Mexico,Autumn,49.741893811757976
Mexico,Spring,42.2322105338372
Mexico,Summer,77.04841367263829
Mexico,Winter,38.828653455694315
New Zealand,Autumn,1495.832110549504
New Zealand,Spring,1537.8847756411456
New Zealand,Summer,1966.1318805719727
New Zealand,Winter,1531.3743017806614
Singapore,Autumn,409.5977979132048
Singapore,Spring,481.04907758348423
Singapore,Summer,442.82151104296656
Singapore,Winter,427.10738168906374
Thailand,Autumn,614.5528233412816
Thailand,Spring,639.9624065737474
Thailand,Summer,633.6080591847375
Thailand,Winter,656.6913579922342
UK,Autumn,475.295817109651
UK,Spring,839.8745469731997
UK,Summer,633.1865177117566
UK,Winter,1065.891033403179
