category,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Accommodation services,2525.3456760991376,2570.6223528267265,2562.816029253004,1828.2409809657436,68.69564744875552,299.7628252309332,1957.8259522895323,2935.958296076926
Rent on vacation homes,3464.4464020179203,3587.0056821253593,3953.1222577329313,2969.525487443932,188.13239812670545,766.5809749395219,2931.274501932693,4644.76252636472
Takeaway and restaurant meals,2255.2468804483487,2330.187586756082,2419.1796754965153,1769.6935541628268,70.25691216349996,403.5869287614387,1778.2805100939213,2605.7508089084763
Taxi fares,284.93081044086097,349.7232961027554,431.6896936268387,319.2786341652387,11.709485360583328,64.7924856618944,310.69167823414426,477.7470027117997
Local area passenger transportation,384.85175218450536,393.4387081155998,405.1481934761831,305.2272517325387,12.490117717955549,72.59880923561663,264.6343691491832,419.1995759088831
Long distance passenger transportation,2657.272544495043,2767.3417068845265,2797.786368822043,2194.3575565733154,33.567191367005535,345.03950195852207,1996.0769378007712,2581.5512058299373
Motor vehicle hire and lease,480.86953214128863,480.0888997839164,511.31419407880526,355.18772260436094,7.025691216349996,54.64426501605553,448.0829731316553,561.2746649506274
Travel agency and information centre services,1779.0611424512936,1947.6777316436935,2047.5986733873378,1459.7825082860547,167.05532447765546,315.3754723783776,1214.6639480711772,1801.699480815088
"Recreational, cultural and gambling services",777.509827942733,811.0770193097385,796.2450045196663,584.6936356717941,14.832014790072215,89.7727210978055,488.67585571501087,733.0137835725163
"Shopping, gifts and souvenirs",2905.5136341394095,3189.6638122228983,3264.6045185306316,2267.736998166304,60.8893238750333,425.44463476786086,2024.9603350235434,2899.268575280432
"Food, alcohol and other beverage products",3299.7329746123814,3430.879210650915,3562.8060790468203,2576.867411685704,92.8952505272944,563.6165620227441,2897.7073105656873,4098.319876204165
"Motor vehicles, caravans, boats",458.2311937774942,462.1343555643553,322.4011635947276,229.5059130674332,10.928853003211106,74.16007395036107,374.7035315386665,673.6857244122274
"Repair, maintenance and fuel for motor vehicles",523.0236794393886,531.610635370483,558.1521355211386,396.56123754508866,14.051382432699992,85.8695593109444,454.32803199063306,579.2292091701886
Education services,3344.229018982598,4263.813935967076,5212.282250174325,4547.964114050565,8.58695593109444,873.5276078995162,2725.9681919437985,4419.159775084147
Other tourism goods and services,561.2746649506274,553.4683413769053,576.1066797406997,439.49601720056086,18.735176576933323,116.31422124846105,392.6580757582276,487.89522335763866
